"Source","Your finding about AI features","Your finding about Human performance degradation types","Your finding about Causal links between them","Excerpt","Justification","Validation (y/n)"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Data-driven learning without explicit programming","","","Finally, Machine Learning (ML) is “the art and science of letting computers learn without being explicitly programmed” [112]. It is a subfield of AI that uses algorithms to learn from example training data sets that implicitly specify the intended functionalities, features, rules and constraints.","This represents a core AI capability where systems learn from data rather than following predetermined rules, distinguishing AI from conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Stochastic Nature and Uncertainties","","","Due to the intrinsic stochastic nature of ML training and associated epistemic uncertainties [277, 280], the achievable confidence usually depends on “complex hypotheses” [147] related to the different properties of the training and inference input data (e.g., data drift, distribution, correlation),","This directly relates to non-deterministic/data-driven decision-making, highlighting variability, uncertainty, and model-dependent aspects of AI systems.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Explainability/Interpretability","","","—Explainability/Interpretability : “Extent to which an ML system can provide an explanation about a decision in a form understandable by a human” (e.g., see surveys [4,26,104]).","This directly addresses the opacity/explainability characteristic from the research focus, describing an AI feature related to transparency and human understanding of decisions.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Robustness","","","—Robustness : “Ability of the system to perform its intended function in the presence of: (a) Abnormal inputs (e.g., sensor failure), (b) Unknown inputs (e.g., unspecified conditions)”.","This represents an AI capability related to handling variability and unpredictable conditions, which aligns with context-aware/adaptive behavior and non-deterministic aspects.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Autonomous goal and domain modification","","","—Autonomous systems operate in an “open environment” (e.g., AD systems operate in an “open parameter space in which an infinite number of different traffic situations can occur” [ 222]) without human-in-the-loop control and supervision (e.g., AD SAE level 5 [ 231], avionics 3B [76], generic levels 7-10 [ 250]). As defined by ISO 22989, autonomy constitutes the highest level of automation in which “the system is capable of modifying its operating domain or its goals without external intervention, control or oversight” [ 138].","This excerpt directly describes a key AI capability where systems can autonomously modify their operating domain or goals without external intervention, highlighting a novel characteristic of advanced AI systems compared to conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: automation | Feature: Automation definition and automatic system characteristics","","","Automation/automated is defined as “pertaining to a process or system that, under specified conditions, functions without human intervention” [138]. —Automatic systems operate in a “closed environment” with well-defined safety rules and constraints known at design time [105]. Thus, the system is neither autonomous nor heteronomous. It simply executes an automation of safety functions without human intervention (e.g., railway interlocking system [161]) in compliance with applicable FuSa standards.","This excerpt explicitly defines automation and describes automatic systems as operating in closed environments with well-defined safety rules and constraints known at design time, which contrasts with novel AI characteristics like non-deterministic behavior or context adaptation. It helps distinguish conventional automation from more advanced AI systems.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Similarity-based classification algorithms","","","(4) Analogizers are similarity-based classification algorithms (e.g., Support Vector Machine (SVM)).","This excerpt defines analogizer AI, which uses classification algorithms based on similarity, a common AI technique for pattern recognition and data analysis not typically found in conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Iterative optimization algorithms","","","(5) Optimization algorithms aim to discover optimum or satisfactory solutions performing iterative updates and comparison procedures (e.g., Genetic Algorithm (GA)).","This excerpt explains optimization algorithms, which are AI techniques for finding solutions through iterative processes, highlighting AI's ability to handle complex optimization tasks dynamically.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Learning algorithms based on optimization and neural networks","","","(1) Connectionists are design learning algorithms based on optimization techniques such as gradient descent, where models are represented as Neural Networks (NNs) and specialized Deep Learning (DL) models [103,212] such as Deep Neural Networks (DNNs) [181],","This excerpt directly describes a type of AI (connectionist) that uses learning algorithms and neural networks, which are core AI capabilities distinguishing it from conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Probabilistic graphical models for inference","","","(2) Bayesians are probabilistic outcome-based graphical model representations for probabilistic inference such as Bayesian and Markov networks.","This excerpt details Bayesian AI, which involves probabilistic models and inference, a key AI feature that introduces uncertainty and data-driven decision-making compared to deterministic automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Logic-focused algorithms and rule-based systems","","","(3) Symbolists are logic-focused algorithms such as rule-based programming (e.g., “always stop in front of a stop sign”), Constraint Programming (CP), decision trees (e.g., random decision forest [269]), fuzzy logic [172] and rational agents [156].","This excerpt outlines symbolist AI, which uses logic-based approaches like rule-based programming and decision trees, representing AI capabilities that can handle complex reasoning tasks beyond simple automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Failure from Unforeseen Conditions","","","safety-critical systems could fail even in the absence of an electronic/software failure. For example, the intended safety function fails due to unexpected operating conditions not considered in the perception ML algorithm training [162].","This describes how AI/ML systems can produce unpredictable failures due to data/model limitations, aligning with non-deterministic/data-driven decision-making where outputs vary with training data and model states.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: control | Feature: autonomous decision-making without human control","","","a novel scenario in which the safety system makes autonomous decisions without human control/supervision in an open environment.","This represents an AI feature because it describes autonomous decision-making without human intervention, which is a key characteristic of advanced AI systems versus conventional automation that typically requires human supervision.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI implementation in safety functions and development","","","In aproduct/runtime, a safety function can be implemented using AI technology ( A), or a non-safety-related function that could interfere with safety function(s) ( C) or be interference-free ( D). Furthermore, AI technology can also be used in the safety-critical development process(B).","This represents an AI feature as it explicitly mentions the use of AI technology for implementing safety functions and in development processes, highlighting AI's role in safety-critical applications.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: context_adaptive | Feature: Runtime field learning and dynamic reconfiguration","","","(2) Runtime: The AI-based safety-critical system integrates AI technology with runtime field learning capability (online). A runtime can also be considered a product variant that integrates dynamic reconfiguration (IEC61508-7C.3.10) and becomes a “one of a kind” system.","This excerpt directly mentions 'runtime field learning capability' and 'dynamic reconfiguration', which are key characteristics of context-aware/adaptive AI systems that respond dynamically to their environment, aligning with the research focus on novel AI features like context-aware/adaptive behavior.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: control | Feature: Safety Bag/Diverse Monitor Runtime Checker","","","the safety bag /diverse monitor (C.3.4 IEC 61508-7) technique (a.k.a., run-time checker), safely monitors that the results provided by an AI item are safe [120,264]. So, the safety bag becomes the safety function that prevents unsafe states, and the AI item does not require safety standard compliance.","This excerpt highlights a control mechanism (safety bag/diverse monitor) that monitors AI outputs in real-time to ensure safety, representing a novel AI feature where external validation compensates for potential AI unpredictability or opacity, aligning with the research focus on managing AI characteristics in high-risk industries.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI-based ADAS functionality and driver responsibility","","","AI-based ADAS using class III AI technology are not considered safety-critical systems, and the driver itself is responsible for driving the vehicle, monitoring the ADAS operation and taking vehicle control in a short time if the ADAS detects and notifies that can no longer provide the intended functionality [66,163,285].","This excerpt describes the capabilities and limitations of AI-based ADAS, highlighting its role in driving assistance and the reliance on human oversight, which relates to AI features in high-risk industries like transportation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Data-driven decision-making","","","In any case, a relevant difference between traditional safety engineering and ML workflows is that the former is specification-driven and the latter data-driven [ 217].","This highlights a key difference where ML workflows rely on data-driven approaches, which is a core aspect of non-deterministic AI systems where decisions vary based on data and model states.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Uncertainty-related failures","","","VDE-AR-E2842-61-1 [ 280] states that AI technology should be considered a third type of technology (in addition to electronics and software) due to its unique characteristics (e.g., uncertainty-related failures).","This directly mentions uncertainty-related failures as a unique characteristic of AI, which aligns with non-deterministic/data-driven decision-making where outputs vary and failures can be unpredictable.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Uncertainty in formal verification","","","Regarding AI-based heteronomous and autonomous systems, the generic application of offline formal verification seems questionable due to limitations such as the uncertainty and difficulty of explicitly formalizing all safety specifications, rules and constraints required for the safety verification, and the potential high","This excerpt directly mentions 'uncertainty' as a limitation in formalizing safety specifications for AI-based systems, which relates to non-deterministic/data-driven decision-making where outputs vary with data/model states, leading to unpredictable failures.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI-based safety-critical system development with inference execution","","","4 PRODUCT - AI-BASED SAFETY-CRITICAL SYSTEM This section describes the challenges, techniques, and methods used to develop AI-based safety-critical systems (the product) from traditional FuSa to autonomous systems. The description structure follows the product layers presented in Section 3.4 and summarized in Figure 3: AI system (Section 4.1), AI item (Section 4.2), and inference execution platform (Section 4.3). We also provide a brief summary of tools and training platforms (Section 4.4).","This excerpt explicitly mentions 'AI-based safety-critical systems' and 'inference execution platform', which are key AI features involving computational inference and execution in safety-critical contexts, distinguishing them from conventional automation by highlighting AI-specific development and deployment aspects.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Model learning and verification with operational data feedback","","","management, model learning, and model verification phases. The resulting verified model is then deployed to an execution platform. And the model execution can feed the data management phase with operational data for future model releases.","This excerpt mentions 'model learning' and 'model verification' phases, which are AI-specific capabilities involving data-driven model development and validation, and describes a feedback loop where model execution provides operational data for future releases, indicating adaptive or iterative improvement processes.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Explainability as a high-level property","","","For example, the safety assurance case arguments of an AI-item (Section 4.2) can be built on claims of high-level properties [17,147,228], such as the ML properties defined in Section 2.3 (e.g., explainability, monitorability, auditability, provability), arguments based on specific methods used for uncertainty","This mentions explainability as a key property for AI systems, directly addressing opacity/lack of explainability by highlighting it as a requirement for safety assurance in AI items.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Uncertainty-related failures and management","","","However, for the latter, the safety assurance case should also support the management of uncertainty-related failures (see VDE-AR-E2842-61 [280]) inherent to heteronomous, autonomous and (non-trivial) AI-based systems. This AI uncertainty management includes, among others, uncertainty sources identification and uncertainty reduction argumentation [248,265].","This directly addresses non-deterministic/data-driven decision-making by highlighting uncertainty-related failures inherent to AI systems and the need for uncertainty management, which relates to variable outputs and unpredictable failures.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Unspecifiable safety functions due to scenario variability","","","the safety functions (and previous safety goals) can only be specified as “intended functionality” with a set of high-level goals and objectives [39], or iterative partial specifications [234], because it is not generally feasible to fully specify the safety functions (w.r.t. all possible scenarios) with a set of safety requirements, rules, constraints (e.g., [32]).","This excerpt highlights the non-deterministic nature of AI systems, where safety functions cannot be fully specified for all possible scenarios, indicating unpredictable behavior and uncertainty in decision-making, which contrasts with conventional automation's deterministic specifications.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Semantic gap from incomplete specifications","","","This creates a “semantic gap” [49,193] between the intended functionality and the specified functionality, which sometimes is based on examples where anomalous and edge/corner case examples are a minority.","This excerpt illustrates the opacity and non-deterministic aspects of AI systems, where the gap between intended and specified functionality leads to unpredictable failures, especially in handling rare or anomalous cases, unlike conventional automation with clear specifications.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Novel testing techniques for AI-based autonomous systems","","","the validation should consider the definition of a strategy with a framework that combines multiple testing techniques and approaches, with the adaptation of existing techniques and the definition of novel techniques specific for AI-based autonomous systems.","This excerpt highlights a key AI feature: the need for novel and adapted testing techniques specifically designed for AI-based autonomous systems, as conventional methods are insufficient, indicating the unique challenges posed by AI characteristics like non-determinism or opacity.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: automation | Feature: Neural network-based automatic control","","","Beyond flight controllers, a 2001 review by Lisboa identified a diverse set of industrial use of NNs in safety-related areas [ 180]. Examples include power generation and transmission, process industries, and transport industries. A common theme among many applications is that NNs were used for automatic control.","This excerpt mentions the use of neural networks (NNs) for automatic control in safety-related industrial applications, which relates to AI capabilities in automation, though it does not explicitly detail novel AI characteristics like non-determinism or opacity.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: context_adaptive | Feature: dynamic environment adaptation","","","autonomous systems as they operate in complex and continuously evolving environments [33,50].","This describes AI systems' ability to adapt to complex and continuously evolving environments, highlighting context-aware and adaptive behavior.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: implementation and deployment","","","AI items are implemented as electronics, software, model configuration and combinations of the previous using traditional FuSa standard technical requirements (e.g., IEC 61508-3 software development guidelines) and deployed on execution platforms (see Section 4.3).","This outlines the technical implementation and deployment of AI items, including software and model configurations, which are key AI capabilities.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Explainability challenge in NN VVT","","","Discussed challenges of NN VVT include state-space explosion, robustness, explainability, co-engineering of NNs and conventional software, and challenges in specifications of ML concepts.","This directly references 'explainability' as a challenge for neural networks, which aligns with the opacity/explainability characteristic of AI systems where internal reasoning is not transparent.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: control | Feature: Safety bag and safety envelope techniques for AI adoption","","","dimensional design space that limits the application of formal verification and brute-force testing approaches [33,183,268,278]. A similar limitation applies to online approaches such as the safety bag technique, but in this case, formally specified operational rules can be used to specify safety envelopes (a.k.a., safety monitor, runtime monitor, runtime verification, supervisor, guardian agent, safety layer, safety net) [18,64,71,105,183,223,235,240,241,263]. For example, model checking has already been applied in some specific applications (e.g., AD vehicle overtaking [223]) for the development of formally defined safety envelope software (runtime monitor / verification) [183,223]. Safety bag and safety envelope type techniques provide a potentially generic safe approach for the adoption of cutting-edge and state-of-the-art AI technology solutions (as a compensatory measure to adapt Class III AI technology to Class II). However, its use must consider the safety of the system as a whole because, for example, excessive false alarms could lead to new system-level hazards (e.g., cascade errors in systems with multiple safety functions) and should also consider human cognitive limitations (e.g., cognitive overload, oversight and reaction time limitations) [210,263]. The avionics domain ASTM F3269 [18] standard describes a reference run-time assurance architecture to safely bound the behavior of “complex functions” integrated in aircraft systems such as UAVs and UASs. This architecture implements a safety bag type technique where a safety monitor monitors the safe operation of a “complex function” (e.g., AI-based function) and activates the safe state or switches to a recovery control function [18,64,71,240,241,268] if operating outside established safe operation constraints and rules.","This excerpt directly addresses novel AI characteristics by describing techniques (safety bag, safety envelope) used to manage the non-deterministic and opaque nature of AI systems in high-risk applications, ensuring safe operation through monitoring and control mechanisms.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI system safety assurance and error management","","","At all levels, the overall AI-based safety-critical must comply with the required FuSa, heteronomous, autonomous and AI standards. At the highest AI system level, developers define safety assurance cases with the arguments and required evidence needed to justify that the system is safe for its purpose; developers identify and manage uncertainty sources and successfully verify, test and validate the system. AI item developers control and mitigate systematic errors using at least the appropriate development lifecycle and techniques, appropriate tools and training platforms, and the obtained ML properties provide sufficient evidence to justify the previous assurance case argumentation. Finally, the underlying platform must avoid, control and mitigate systematic and random errors providing sufficient evidence to the previously defined assurance case argumentation.","This excerpt highlights AI-specific features such as managing uncertainty sources and using ML properties for evidence, which are critical for addressing the non-deterministic and data-driven nature of AI systems in safety-critical contexts.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: automation | Feature: Safety assurance cases for traditional FuSa systems","","","Safety assurance cases are commonly used in the development and certification/assessment of traditional FuSa systems to justify that a given safety-critical system is acceptably safe for its purpose, using a structured and evidence-supported safety argumentation [33,38,131,265]. For example, the safety case provides a structured argumentation of systematic and random errors management, from high-level architectural and lifecycle systematic aspects down to the underlying execution platform (see Table 4).","This excerpt represents conventional automation features, as it discusses safety assurance cases used in traditional functional safety systems, providing a baseline contrast to novel AI characteristics mentioned elsewhere in the chunk.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: context_adaptive | Feature: dynamic post-release adaptation","","","Third, the AI systems themselves can be dynamic post-release if retraining of internal models is enabled (see Section 5).","This describes AI systems that can adapt and change behavior after deployment through retraining, representing a context-aware or adaptive feature compared to static conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Neural network design specifics","","","And software architecture specifications must also encompass fundamental NN design elements and specifics such as activation functions and hyperparameters controlling the learning process.","It emphasizes AI capabilities through neural network components that influence learning and behavior, relevant to AI system features.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: non_deterministic | Feature: Data-driven decision-making","","","Supervised learning relies on data (for model training and model verification) being treated as first-class citizens during software and systems engineering. As a result, data management needs a rigorous process encompassing collection, augmentation, preprocessing, analysis, and maintenance.","It highlights the data-driven nature of AI systems, where outputs vary based on model training and verification data, aligning with non-deterministic characteristics.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: adaptation | Feature: Learning behavior capture","","","Furthermore, specifications and the associated test specifications must be augmented to capture the learning behavior of NNs.","It addresses the adaptive nature of AI systems, where learning behavior must be captured in specifications, relating to context-aware or adaptive features.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: interpretability","","","qualities such as interpretability, efficiency, and privacy are much less studied [ 292].","Interpretability is directly related to the opacity/explainability characteristic of AI systems, as it addresses the ability to understand and explain AI decisions, which is a key challenge in human-AI interaction.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: AI capabilities in perception and generalization","","","Still, the representation learning offered by DL has enabled several breakthroughs during the 2010s and trained DL models have outperformed human performance in a range of restricted tasks. From the perspective of this review, the use of DL has disrupted computer vision and enabled perception systems able to generalize to diverse operational contexts. Advances in the automotive industry have been particularly prominent, with DL being a key enabler for AD, and in various ADAS such as automatic emergency braking and lane keeping assistance [28,61,160].","This excerpt describes novel AI characteristics such as outperforming human performance and enabling perception systems that generalize to diverse operational contexts, which are advanced capabilities beyond conventional automation.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Opacity due to logic in training data","","","the potential benefits of using DL in safety-critical applications. In general, developing safety-critical systems that rely on DL shares the same challenges as NNs – as can be seen in Dey and Lee’s recently proposed three-layered conceptual framework [70]. However, the fact that contemporary deep NNs can be composed of billions of neurons, organized into complex architectures, further amplifies all challenges. Several VTT practices mandated by FuSa become less effective, e.g., code reviews matter less if the logic resides in the training data [235] and the value of adequacy testing metrics is questionable [108].","This excerpt directly addresses opacity/explainability by noting that code reviews become less effective when the logic resides in training data, which is a characteristic of black-box AI systems where internal reasoning is not transparent.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: AI_capability | Feature: Data-driven functionality specification","","","Regarding ML properties for the construction of safety assurance cases, there is a rich variety of research contributions applicable to both NNs and DL models: —Data Quality : The training data implicitly specify the intended functionality, rules and constraints. So data quality is of paramount importance as described by Ashmore et. al [ 17], and the data management phase must produce datasets that exhibit at least properties such as: relevance, completeness, balance, and accuracy [ 17,217]. Training data is split for model training and model verification.","This represents an AI feature because it highlights how ML models rely on training data to implicitly define their intended behavior, rules, and constraints, which is a core aspect of data-driven decision-making in AI systems, distinguishing them from conventional automation that may use explicit programming.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Auditability and verification of DNN behavior","","","Auditability : Huang et al. propose a framework for the automated safety verification of DNNs made classification decisions [ 117]. Verification is also put forward by Kuper et al. [170] as a viable solution to confirming that NNs behave as intended. In addition, they further suggest to create and use design principles for NNs that produce DNNs that are more amenable to verification [ 170].","This excerpt directly addresses the opacity/explainability characteristic by proposing automated safety verification and design principles to confirm that neural networks behave as intended, which relates to trust and regulation challenges in AI systems.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Black-box AI explainability","","","made by black-box type AI-based items [104] so that the user is aware of the rationale for decisions","This excerpt directly addresses the opacity and lack of explainability in AI systems, as it mentions 'black-box type AI-based items' and the need for users to understand the rationale behind decisions, which aligns with the research focus on trust and regulation challenges.","y"
"Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey","Category: opacity | Feature: Runtime explanations for ML decisions","","","decision trees can provide runtime explanations of decisions made by an ML-based co-pilot to an aircraft pilot, who must understand them and react safely in case of wrong decisions [147].","This excerpt illustrates the explainability aspect of AI systems by detailing how decision trees offer runtime explanations to enhance transparency and enable safe human intervention, addressing the research focus on opacity and trust challenges.","y"
